com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
JOSH CAESAR FOR US CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00507897,Q1,H,P,Q,PO BOX 6463,MCKINNEY,TX,75071,JOSH CAESAR,C00507897,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$823.13,$823.13,,,2015-01-01,2015-03-31,,H2TX03258,,,,,,,,,,,,,,,,,,,,,
JOSH CAESAR FOR US CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00507897,Q2,H,P,Q,PO BOX 6463,MCKINNEY,TX,75071,JOSH CAESAR,C00507897,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$823.13,$823.13,,,2015-04-01,2015-06-30,,H2TX03258,,,,,,,,,,,,,,,,,,,,,
JOSH GOTTHEIMER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00573949,Q1,H,P,Q,PO BOX 584,RIDGEWOOD,NJ,7451,"COHEN, LAUREN",C00573949,2016,"$215,431.00","$1,225.00","$216,656.00",,,"$2,000.00",,,"$218,656.00",,,,,,,,,,,,,"$218,656.00",,"$18,208.10",,,,,,,,,,,,,,,,,,,,,,,"$18,208.10","$218,656.00","$18,208.10",,"$200,447.90",,,2015-01-01,2015-03-31,,H6NJ05171,,,,,,,,,,,,,,,,,,,,,
JOSH GOTTHEIMER FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00573949,Q2,H,P,Q,PO BOX 584,RIDGEWOOD,NJ,7451,"COHEN, LAUREN",C00573949,2016,"$399,700.00","$8,167.00","$407,867.00",,,"$4,500.00",,,"$412,367.00",,,,,,,,,,,,,"$412,367.00",,"$26,609.36",,,,,,,,,,,,,,,,,,,,,,,"$26,609.36","$412,367.00","$26,609.36","$200,447.90","$586,205.54",,,2015-04-01,2015-06-30,,H6NJ05171,,,,,,,,,,,,,,,,,,,,,
JOSH LAROSE FOR UNITED STATES SENATE 2016,http://images.nictusa.com/cgi-bin/fecimg/?C00577643,Q2,S,P,Q,PO BOX 9961,FORT LAUDERDALE,FL,33310,JOSH LAROSE,C00577643,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,S2FL00185,,,,,,,,,,,,,,,,,,,,,
JOYCE MCDONALD FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00560342,TER,H,P,T,PO BOX 1225,PUYALLUP,WA,98371,GARY MCDONALD,C00560342,2016,,,,,,,,,,,,,,,,,,,,,,,,$457.32,,,,,,,,,,,,,,,,,,,,,,,$457.32,,$457.32,$458.48,$1.16,,,2015-01-01,2015-02-03,,H4WA10010,,,,,,,,,,,,,,,,,,,,,
JUAN GARCIA FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00547760,Q1,H,P,T,5948 SW 112 DRIVE,COOPER CITY,FL,33330,"JOSE A RIESCO, CPA",C00547760,2016,,,,,,,,$645.00,$645.00,,,,,,,,,,,,,$645.00,,"$1,000.00",,,,,,,,,,,,,,,,,,,,,$45.00,,"$1,045.00",$645.00,"$1,000.00","$2,743.69","$2,343.69",,,2015-01-01,2015-03-31,,H4FL23076,,,,,,,,,,,,,,,,,,,,,
JUAN GARCIA FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00547760,TER,H,P,T,5948 SW 112 DRIVE,COOPER CITY,FL,33330,"JOSE A RIESCO, CPA",C00547760,2016,,,,,,,,,,,,,,,,,,,,,,,,"$2,343.69",,,,,,,,,,,,,,,,,,,,,,,"$2,343.69",,"$2,343.69","$2,343.69",,,,2015-04-01,2015-07-10,,H4FL23076,,,,,,,,,,,,,,,,,,,,,
JUDY CHU FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00458125,Q1,H,P,Q,6380 WILSHIRE BLVD # 1612,LOS ANGELES,CA,90048,"CHAVIRA, BARBARA",C00458125,2016,"$22,000.00",$400.00,"$22,400.00",,,"$21,010.00",,,"$43,410.00",,,,,,,,,,,,,"$43,410.00",,"$60,777.74",,,,,,,,,,,,,,,,,,,,,"$20,801.00",,"$81,578.74","$43,410.00","$60,777.74","$1,687,908.99","$1,649,740.25",,,2015-01-01,2015-03-31,,H0CA32101,,,,,,,,,,,,,,,,,,,,,
JUDY CHU FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00458125,Q2,H,P,Q,6380 WILSHIRE BLVD # 1612,LOS ANGELES,CA,90048,"CHAVIRA, BARBARA",C00458125,2016,"$64,850.00","$2,068.33","$66,918.33",,,"$25,000.00",,,"$91,918.33",,,,,,,,,,,,,"$91,918.33",,"$29,113.33",,,,,,,,,,,,,,,,,,,,,"$39,300.00",,"$68,413.33","$91,918.33","$29,113.33","$1,649,740.25","$1,673,245.25",$8.47,,2015-04-01,2015-06-30,,H0CA32101,,,,,,,,,,,,,,,,,,,,,
JULIA BROWNLEY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00513077,Q1,H,P,Q,PO BOX 2018,THOUSAND OAKS,CA,91358,"MAY, JENNIFER",C00513077,2016,"$181,424.74","$49,557.44","$230,982.18","$7,205.04","$1,983.21","$120,500.00",,,"$353,465.39","$7,205.04",,,,,,,,,,,"$3,500.00","$359,565.33",,"$70,485.25",,,,"$2,599.94",,,,,,,,,,,,,,,,,$335.85,,"$78,026.14","$346,260.35","$67,885.31","$275,379.83","$556,919.02",,,2015-01-01,2015-03-31,,H2CA00120,,,,,,,,,,,,,,,,,,,,,
JULIA BROWNLEY FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00513077,Q2,H,P,Q,PO BOX 2018,THOUSAND OAKS,CA,91358,"MAY, JENNIFER",C00513077,2016,"$165,725.66","$71,737.54","$237,463.20","$6,923.92",$821.48,"$136,050.00","$2,000.00",,"$374,334.68","$8,923.92",,,,,,,,,,,,"$411,351.00",,"$72,568.61",,,,"$37,016.32",,,,,,,,,,,,,,,,,$210.00,,"$81,702.53","$365,410.76","$35,552.29","$556,919.02","$886,567.49",,,2015-04-01,2015-06-30,,H2CA00120,,,,,,,,,,,,,,,,,,,,,
JULIANNE MN INC,http://images.nictusa.com/cgi-bin/fecimg/?C00548446,Q1,S,P,Q,PO BOX 173,CHASKA,MN,55318,CHARLES P ERICKSON,C00548446,2016,,$63.00,$63.00,,,,,,$63.00,,"$3,350.00",,,,"$3,350.00",,,,,,$479.00,"$3,892.00",,"$3,480.00",,,,,,,,,,,,,,,,,,,,,"$1,090.00",,"$4,570.00",$63.00,"$3,480.00","$1,055.00",$377.00,"$41,723.00",,2015-01-01,2015-03-31,,S4MN00361,,,,,,,,,,,,,,,,,,,,,
JULIANNE MN INC,http://images.nictusa.com/cgi-bin/fecimg/?C00548446,Q2,S,P,Q,PO BOX 173,CHASKA,MN,55318,CHARLES P ERICKSON,C00548446,2016,,,,,,,,,,,"$1,800.00",,,,"$1,800.00",,,,,,,"$1,800.00",,"$2,064.00",,,,,,,,,,,,,,,,,,,,,,,"$2,064.00",,"$2,064.00",$377.00,$112.00,"$45,639.00",,2015-04-01,2015-06-30,,S4MN00361,,,,,,,,,,,,,,,,,,,,,
JULIE BORNSTEIN FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00443283,Q1,H,P,A,P.O. BOX 2585,PALM DESERT,CA,92261,"ARMIJO, OSCAR",C00443283,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$3,899.25","$3,899.25","$113,324.54",,2015-01-01,2015-03-31,,H8CA45114,,,,,,,,,,,,,,,,,,,,,
JUN CHOI FOR CONGRESS INC,http://images.nictusa.com/cgi-bin/fecimg/?C00496141,Q1,H,P,Q,PO BOX 462,EDISON,NJ,8818,LOIS HURLEY,C00496141,2016,"$1,000.00",,"$1,000.00",,,,,,"$1,000.00",,,,,,,,,,,,,"$1,000.00",,"$1,000.00",,,,,,,,,,,,,,,,,,,,,$750.00,,"$1,750.00","$1,000.00","$1,000.00","$52,777.36","$52,027.36",,,2015-01-01,2015-03-31,,H2NJ07168,,,,,,,,,,,,,,,,,,,,,
JUN CHOI FOR CONGRESS INC,http://images.nictusa.com/cgi-bin/fecimg/?C00496141,Q2,H,P,Q,PO BOX 462,EDISON,NJ,8818,LOIS HURLEY,C00496141,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,800.00",,"$1,800.00",,,"$52,027.36","$50,227.36",,,2015-04-01,2015-06-30,,H2NJ07168,,,,,,,,,,,,,,,,,,,,,
JUSTIN AMASH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00476291,Q1,H,P,Q,1500 E BELTLINE AVE SE STE 250,GRAND RAPIDS,MI,49506,"CHALFOUN, STACEY MRS.",C00476291,2016,"$10,700.00",$909.00,"$11,609.00",,,,,,"$11,609.00",,,,,,,,,,,,,"$11,609.00",,"$119,545.27",,,,,,,,,,,,,,,,,,,,,"$2,000.00",,"$121,545.27","$11,609.00","$119,545.27","$328,827.01","$218,890.74",,,2015-01-01,2015-03-31,,H0MI03126,,,,,,,,,,,,,,,,,,,,,
JUSTIN AMASH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00476291,Q2,H,P,Q,1500 E BELTLINE AVE SE STE 250,GRAND RAPIDS,MI,49506,"CHALFOUN, STACEY MRS.",C00476291,2016,"$59,750.00","$3,820.00","$63,570.00",,,"$2,450.00",,,"$66,020.00",,,,,,,,,,,,,"$66,520.00",,"$54,931.91",,,,$500.00,,,,,,,,,,,,,,,,,,,"$54,931.91","$66,020.00","$54,431.91","$218,890.74","$230,478.83",,,2015-04-01,2015-06-30,,H0MI03126,,,,,,,,,,,,,,,,,,,,,
JUSTIN FAREED FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00572560,Q1,H,P,Q,PO BOX 5068,SANTA BARBARA,CA,93105,VONA L COPP,C00572560,2016,"$88,750.00","$1,249.99","$89,999.99",,,"$12,000.00",,,"$101,999.99",,,,,,,,,,,,,"$101,999.99",,"$8,120.58",,,,,,,,,,,,,,,,,,,,,,,"$8,120.58","$101,999.99","$8,120.58",,"$93,879.41","$5,987.77",,2015-01-01,2015-03-31,,H4CA24142,,,,,,,,,,,,,,,,,,,,,
JUSTIN FAREED FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00572560,Q2,H,P,Q,PO BOX 5068,SANTA BARBARA,CA,93105,VONA L COPP,C00572560,2016,"$116,800.00","$1,605.00","$118,405.00",,,,,,"$118,405.00",,,,,,,,,,,,,"$118,405.00",,"$22,205.10",,,,,,,,,,,,,,,,,,,,,,,"$22,205.10","$118,405.00","$22,205.10","$93,879.41","$190,079.31",$761.38,,2015-04-01,2015-06-30,,H4CA24142,,,,,,,,,,,,,,,,,,,,,
JUSTIN JELINCIC FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00481564,Q1,H,P,Q,P O BOX 971,SAN LEANDRO,CA,94577,JUSTIN JELINCIC,C00481564,2016,,,,,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,$15.00,,$15.00,$369.30,$354.30,"$5,900.00",,2015-01-01,2015-03-31,,H0CA13093,,,,,,,,,,,,,,,,,,,,,
JUSTIN JELINCIC FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00481564,Q2,H,P,Q,P O BOX 971,SAN LEANDRO,CA,94577,JUSTIN JELINCIC,C00481564,2016,,,,,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,$15.00,,$15.00,$354.30,$339.30,"$5,900.00",,2015-04-01,2015-06-30,,H0CA13093,,,,,,,,,,,,,,,,,,,,,
KAIFESH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00551036,Q1,H,P,Q,869 E SCHAUMBURG RD #377,SCHAUMBURG,IL,60194,ANTHONY N LUCZKIW,C00551036,2016,,$50.00,$50.00,,,,,,$50.00,,"$2,000.00",,,,"$2,000.00",,,,,,,"$2,300.00",,"$2,617.03",,,,$250.00,,,,,,,,,,,,,,,,,$2.90,,"$2,619.93",$50.00,"$2,367.03",$359.99,$40.06,"$20,600.00",,2015-01-01,2015-03-31,,H4IL08126,,,,,,,,,,,,,,,,,,,,,
KAIFESH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00551036,Q2,H,P,Q,869 E SCHAUMBURG RD #377,SCHAUMBURG,IL,60194,ANTHONY N LUCZKIW,C00551036,2016,,,,,,,,,,,,,,,,,,,,,,$50.50,,$24.00,,,,$50.50,,,,,,,,,,,,,,,,,,,$24.00,,-$26.50,$40.06,$66.56,"$20,600.00",,2015-04-01,2015-06-30,,H4IL08126,,,,,,,,,,,,,,,,,,,,,
KAINE FOR VIRGINIA,http://images.nictusa.com/cgi-bin/fecimg/?C00495358,Q1,S,P,Q,1751 POTOMAC GREENS DRIVE,ALEXANDRIA,VA,22314,WARREN THOMPSON,C00495358,2016,"$381,610.00","$1,302.00","$382,912.00",$800.00,,"$91,500.00",,,"$474,412.00",$800.00,,,,,,,"$145,000.00",,,,$237.00,"$619,649.00",,"$94,494.00",,,,,,,,,,,,,,,,,,,,,$244.00,,"$95,539.00","$473,612.00","$94,494.00","$581,075.00","$1,105,186.00",,,2015-01-01,2015-03-31,,S2VA00142,,,,,,,,,,,,,,,,,,,,,
KAINE FOR VIRGINIA,http://images.nictusa.com/cgi-bin/fecimg/?C00495358,Q2,S,P,Q,1751 POTOMAC GREENS DRIVE,ALEXANDRIA,VA,22314,WARREN THOMPSON,C00495358,2016,"$123,936.00","$1,320.00","$125,256.00",,,"$37,500.00",,,"$162,756.00",,,,,,,,"$105,000.00",,,,$585.00,"$268,342.00",,"$134,271.00",,,,,,,,,,,,,,,,,,,,,"$1,603.00",,"$135,874.00","$162,756.00","$134,271.00","$1,105,186.00","$1,237,653.00",,,2015-04-01,2015-06-30,,S2VA00142,,,,,,,,,,,,,,,,,,,,,
KAMALA HARRIS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00571919,Q1,S,P,Q,777 S FIGUEROA ST STE 4050,LOS ANGELES,CA,90017,STEPHEN J KAUFMAN,C00571919,2016,"$2,310,411.00","$159,471.00","$2,469,882.00","$14,605.00",,"$80,817.00",,,"$2,550,700.00","$14,605.00",,,,,,,,,,,$72.00,"$2,550,772.00",,"$277,243.00",,,,,,,,,,,,,,,,,,,,,,,"$291,848.00","$2,536,095.00","$277,243.00",,"$2,258,924.00","$72,958.00",,2015-01-01,2015-03-31,,S6CA00584,,,,,,,,,,,,,,,,,,,,,
KAMALA HARRIS FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00571919,Q2,S,P,Q,777 S FIGUEROA ST STE 4050,LOS ANGELES,CA,90017,STEPHEN J KAUFMAN,C00571919,2016,"$1,265,725.00","$297,794.00","$1,563,520.00","$29,102.00",,"$63,200.00",,,"$1,626,720.00","$29,102.00",,,,,,,,,,,$49.00,"$1,626,769.00",,"$903,579.00",,,,,,,,,,,,,,,,,,,,,"$3,080.00",,"$935,761.00","$1,597,617.00","$903,579.00","$2,258,924.00","$2,949,931.00","$241,308.00",,2015-04-01,2015-06-30,,S6CA00584,,,,,,,,,,,,,,,,,,,,,
KANSANS FOR HUELSKAMP,http://images.nictusa.com/cgi-bin/fecimg/?C00413096,Q1,H,P,Q,PO BOX 410,FOWLER,KS,678440410,"SCHNEWEIS, RON E",C00413096,2016,"$91,435.00","$34,993.25","$126,428.25",$50.00,,"$17,200.00",,,"$143,628.25",$50.00,,,,,,,,,,,"$2,158.32","$145,786.57",,"$24,906.67",,,,,,,,,,,,,,,,,,,,,,,"$24,956.67","$143,578.25","$24,906.67","$486,348.91","$607,178.81","$5,375.72",,2015-01-01,2015-03-31,,H6KS01146,,,,,,,,,,,,,,,,,,,,,
KANSANS FOR HUELSKAMP,http://images.nictusa.com/cgi-bin/fecimg/?C00413096,Q2,H,P,Q,PO BOX 410,FOWLER,KS,678440410,"SCHNEWEIS, RON E",C00413096,2016,"$25,640.00","$14,380.00","$40,020.00",,,"$36,500.00",,,"$76,520.00",,,,,,,,,,,,$469.50,"$76,989.50",,"$18,127.83",,,,,,,,,,,,,,,,,,,,,,,"$18,127.83","$76,520.00","$18,127.83","$607,178.81","$666,040.48","$5,375.72",,2015-04-01,2015-06-30,,H6KS01146,,,,,,,,,,,,,,,,,,,,,
KANSANS FOR MARSHALL,http://images.nictusa.com/cgi-bin/fecimg/?C00576173,Q2,H,P,Q,PO BOX 1588,GREAT BEND,KS,67530,"BALL, RICHARD A",C00576173,2016,"$133,725.00","$19,155.00","$152,880.00",,,"$2,700.00",,,"$155,580.00",,"$29,000.00",,,,"$29,000.00",,,,,,,"$184,580.00",,"$83,434.75",,,,,,,,,,,,,,,,,,,,,,,"$83,434.75","$155,580.00","$83,434.75",,"$101,145.25","$29,000.00",,2015-02-05,2015-06-30,,H6KS01179,,,,,,,,,,,,,,,,,,,,,
KANSANS FOR TIAHRT,http://images.nictusa.com/cgi-bin/fecimg/?C00564492,TER,H,P,Q,10500 E. BERKELEY SQUARE PKWY STE 100A,WICHITA,KS,67206,"BRUCE, GEORGE",C00564492,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01,2015-02-02,,H4KS04087,,,,,,,,,,,,,,,,,,,,,
KANSANS FOR TIAHRT,http://images.nictusa.com/cgi-bin/fecimg/?C00564492,Q1,H,P,Q,10500 E. BERKELEY SQUARE PKWY STE 100A,WICHITA,KS,67206,"BRUCE, GEORGE",C00564492,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-03,2015-03-31,,H4KS04087,,,,,,,,,,,,,,,,,,,,,
KANSANS FOR TIAHRT,http://images.nictusa.com/cgi-bin/fecimg/?C00564492,Q2,H,P,Q,10500 E. BERKELEY SQUARE PKWY STE 100A,WICHITA,KS,67206,"BRUCE, GEORGE",C00564492,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01,2015-06-30,,H4KS04087,,,,,,,,,,,,,,,,,,,,,
KANSAS CONSERVATIVES FOR ALAN LAPOLICE,http://images.nictusa.com/cgi-bin/fecimg/?C00552810,Q1,H,P,Q,734 LINCOLN ST.,CLYDE,KS,66938,"MURPHY, BECKY",C00552810,2016,,,,,,,,,,,,,,,,,,,,,,$119.88,,$300.23,,,,$119.88,,,,,,,,,,,,,,,,,,,$300.23,,$180.35,"$3,675.95","$3,495.60","$1,163.51",,2015-01-01,2015-03-31,,H4KS01059,,,,,,,,,,,,,,,,,,,,,
KANSAS CONSERVATIVES FOR ALAN LAPOLICE,http://images.nictusa.com/cgi-bin/fecimg/?C00552810,Q2,H,P,Q,734 LINCOLN ST.,CLYDE,KS,66938,"MURPHY, BECKY",C00552810,2016,,,,,,,,,,,,,,,,,,,,,,,,$453.44,,,,,,,,,,,,,,,,,,,,,,,$453.44,,$453.44,"$3,495.60","$3,042.16","$1,163.51",,2015-04-01,2015-06-30,,H4KS01059,,,,,,,,,,,,,,,,,,,,,
KANSAS4PERRY,http://images.nictusa.com/cgi-bin/fecimg/?C00562488,Q1,H,P,Q,2046 N PAYNE,WICHITA,KS,67203,PERRY SCHUCKMAN,C00562488,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$2,366.14","-$2,366.14",$30.00,,2015-01-01,2015-03-31,,H4KS04111,,,,,,,,,,,,,,,,,,,,,
KANSAS4PERRY,http://images.nictusa.com/cgi-bin/fecimg/?C00562488,Q2,H,P,Q,2046 N PAYNE,WICHITA,KS,67203,PERRY SCHUCKMAN,C00562488,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-$2,366.14","-$2,366.14",$30.00,,2015-04-01,2015-06-30,,H4KS04111,,,,,,,,,,,,,,,,,,,,,
KANUTH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00558080,Q1,H,P,Q,736-A LINCOLN AVENUE,VENICE,CA,902912802,ROBERT COURTNEY,C00558080,2016,,,,"$5,200.00",,,,,,"$5,200.00",,,,,,,,,,,,,,"$2,230.47",,,,,,,,,,,,,,,,,,,,,,,"$7,430.47","-$5,200.00","$2,230.47","$7,824.69",$394.22,,,2015-01-01,2015-03-31,,H4CA33143,,,,,,,,,,,,,,,,,,,,,
KANUTH FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00558080,Q2,H,P,Q,736-A LINCOLN AVENUE,VENICE,CA,902912802,ROBERT COURTNEY,C00558080,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$394.22,$394.22,,,2015-04-01,2015-06-30,,H4CA33143,,,,,,,,,,,,,,,,,,,,,
KAPTUR FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00154625,Q1,H,P,Q,P.O. BOX 899,TOLEDO,OH,43697,"JAFFEE, THOMAS MR.",C00154625,2016,"$5,300.00",$450.00,"$5,750.00",,,"$40,485.00",,,"$46,235.00",,,,,,,,,,,,,"$46,235.00",,"$36,342.78",,,,,,,,,,,,,,,,,,,,,"$27,250.00",,"$63,592.78","$46,235.00","$36,342.78","$369,244.52","$351,886.74",,,2015-01-01,2015-03-31,,H2OH09031,,,,,,,,,,,,,,,,,,,,,
KAPTUR FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00154625,Q2,H,P,Q,P.O. BOX 899,TOLEDO,OH,43697,"JAFFEE, THOMAS MR.",C00154625,2016,"$38,880.79","$1,034.83","$39,915.62",,,"$53,650.00",,,"$93,565.62",,,,,,,,,,,,,"$93,565.62",,"$35,639.18",,,,,,,,,,,,,,,,,,,,,"$25,050.00",,"$60,689.18","$93,565.62","$35,639.18","$351,886.74","$384,763.18",,,2015-04-01,2015-06-30,,H2OH09031,,,,,,,,,,,,,,,,,,,,,
KAREN BASS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00476523,Q1,H,P,Q,777 S. FIGUEROA STREET SUITE 4050,LOS ANGELES,CA,90017,"KAUFMAN, STEPHEN J.",C00476523,2016,"$38,200.00","-$2,495.00","$35,705.00",-$400.00,,"$46,500.00",,,"$82,205.00",-$400.00,,,,,,,,,,,,"$82,205.00",,"$64,851.49",,,,,,,,,,,,,,,,,,,,,"$14,019.85",,"$78,471.34","$82,605.00","$64,851.49","$276,177.47","$279,911.13",,,2015-01-01,2015-03-31,,H0CA33117,,,,,,,,,,,,,,,,,,,,,
KAREN BASS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00476523,Q2,H,P,Q,777 S. FIGUEROA STREET SUITE 4050,LOS ANGELES,CA,90017,"KAUFMAN, STEPHEN J.",C00476523,2016,"$27,250.00",$233.09,"$27,483.09",,,"$35,500.00",,,"$62,983.09",,,,,,,,,,,,$5.00,"$62,988.09",,"$42,970.00",,,,,,,,,,,,,,,,,,,,,"$18,250.00",,"$61,220.00","$62,983.09","$42,970.00","$279,911.13","$281,679.22",$77.26,,2015-04-01,2015-06-30,,H0CA33117,,,,,,,,,,,,,,,,,,,,,
"KAREN HARRINGTON FOR CONGRESS, INC.",http://images.nictusa.com/cgi-bin/fecimg/?C00474478,Q1,H,P,Q,2000 NW 150TH AVE SUITE 2120,PEMBROKE PINES,FL,33028,"HALEY, JANET C",C00474478,2016,,,,,,,,,,,,,,,,,,,,,,,,$56.00,,,,,,,,,,,,,,,,,,,,,,,$56.00,,$56.00,"$36,459.97","$36,403.97",,,2015-01-01,2015-03-31,,H0FL20070,,,,,,,,,,,,,,,,,,,,,
"KAREN HARRINGTON FOR CONGRESS, INC.",http://images.nictusa.com/cgi-bin/fecimg/?C00474478,Q2,H,P,Q,2000 NW 150TH AVE SUITE 2120,PEMBROKE PINES,FL,33028,"HALEY, JANET C",C00474478,2016,,,,,,,,,,,,,,,,,,,,,,,,"$2,000.00",,,,,,,,,,,,,,,,,,,,,,,"$2,000.00",,"$2,000.00","$36,403.97","$34,403.97",,,2015-04-01,2015-06-30,,H0FL20070,,,,,,,,,,,,,,,,,,,,,
KAREN MUELLER FOR CONGRESS CAMPAIGN COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00563718,Q1,H,P,Q,PO BOX 0125,EAU CLAIRE,WI,547020125,LEIGH NICOLE MUELLER,C00563718,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$622.00,$622.00,,,2015-01-01,2015-03-31,,H4WI03151,,,,,,,,,,,,,,,,,,,,,
KAREN MUELLER FOR CONGRESS CAMPAIGN COMMITTEE,http://images.nictusa.com/cgi-bin/fecimg/?C00563718,Q2,H,P,Q,PO BOX 0125,EAU CLAIRE,WI,547020125,LEIGH NICOLE MUELLER,C00563718,2016,,,,,,,,,,,,$622.00,,,,$622.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$622.00,,,$622.00,,,,2015-04-01,2015-06-30,,H4WI03151,,,,,,,,,,,,,,,,,,,,,
KATCHO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00575886,Q2,H,P,Q,525 TRAFFIC WAY STE A,ARROYO GRANDE,CA,93420,"BAUER, DAVID",C00575886,2016,"$81,873.00","$5,033.52","$86,906.52",,,"$7,148.00",,,"$94,054.52",,"$30,000.00",,,,"$30,000.00",,,,,,,"$124,054.52",,"$9,303.72",,,,,,,,,,,,,,,,,,,,,,,"$9,303.72","$94,054.52","$9,303.72",,"$114,750.80","$32,389.48",,2015-01-01,2015-06-30,,,,,,,,,,,,,,,,,,,,,,,
