com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
CASTRO FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00497933,Q2,H,P,Q,PO BOX 544,SAN ANTONIO,TX,78292,"VILLAREAL, JOSE H. MR.",C00497933,2016,"$60,900.48","$7,308.45","$68,208.93",$527.00,,"$73,236.64",,,"$141,445.57",$527.00,,,,,,,,,,,,"$141,445.57",,"$87,051.49",,,,,,,,,,,,,,,,,,,,,"$50,500.00",,"$138,078.49","$140,918.57","$87,051.49","$304,449.54","$307,816.62",,,2015-04-01,2015-06-30,,H2TX35011,,,,,,,,,,,,,,,,,,,,,
CAT PING FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00568774,Q1,H,P,Q,5155 N SHADELAND AVE SUITE 102,INDIANAPOLIS,IN,46226,CATHERINE L PING,C00568774,2016,,,,,,,,,,,,,,,,,,,,,,,,$41.00,,,,,,,,,,,,,,,,,,,,,,,$41.00,,$41.00,"$2,531.00","$2,489.00",$925.00,,2015-01-01,2015-03-31,,H8IN07259,,,,,,,,,,,,,,,,,,,,,
CAT PING FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00568774,Q2,H,P,Q,5155 N SHADELAND AVE SUITE 102,INDIANAPOLIS,IN,46226,CATHERINE L PING,C00568774,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,489.00","$2,489.00","$13,520.00",,2015-04-01,2015-06-30,,H8IN07259,,,,,,,,,,,,,,,,,,,,,
CATES FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00470393,Q1,H,P,Q,10 GREYWOOD LN,CARTERSVILLE,GA,30120,"OVERCASH, WILLIAM G",C00470393,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$442.11,$442.11,"$250,000.00",,2015-01-01,2015-03-31,,H0GA10228,,,,,,,,,,,,,,,,,,,,,
CATES FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00470393,Q2,H,P,Q,10 GREYWOOD LN,CARTERSVILLE,GA,30120,"OVERCASH, WILLIAM G",C00470393,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$442.11,$442.11,"$250,000.00",,2015-04-01,2015-06-30,,H0GA10228,,,,,,,,,,,,,,,,,,,,,
CATHERINE CORTEZ MASTO FOR SENATE,http://images.nictusa.com/cgi-bin/fecimg/?C00575548,Q2,S,P,Q,8020 SOUTH RAINBOW BLVD #100-112,LAS VEGAS,NV,89139,KIM R WALLIN,C00575548,2016,"$776,868.91","$145,148.46","$922,017.37",$14.00,,"$178,000.00",,,"$1,100,017.37",$14.00,,,,,,,,,,,,"$1,100,096.37",,"$144,256.55",,,,$79.00,,,,,,,,,,,,,,,,,,,"$144,270.55","$1,100,003.37","$144,177.55",,"$955,825.82",,,2015-04-08,2015-06-30,,S6NV00200,,,,,,,,,,,,,,,,,,,,,
CATHY MCMORRIS RODGERS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00390476,Q1,H,P,Q,BOX 137,SPOKANE,WA,992100137,"PETERS, DON",C00390476,2016,"$197,274.00","$20,813.00","$218,087.00",$300.00,,"$209,750.00",,,"$427,837.00",$300.00,,,,,,,"$31,801.00",,,,$165.00,"$459,811.00",,"$293,092.00",,,,$8.00,,,,,,,,,,,,,,,,,,,"$293,392.00","$427,537.00","$293,084.00","$182,754.00","$349,173.00","$191,730.00",,2015-01-01,2015-03-31,,H4WA05077,,,,,,,,,,,,,,,,,,,,,
CATHY MCMORRIS RODGERS FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00390476,Q2,H,P,Q,BOX 137,SPOKANE,WA,992100137,"PETERS, DON",C00390476,2016,"$91,550.00","$47,378.00","$138,928.00",,,"$169,350.00",,,"$308,278.00",,,,,,,,"$133,145.00",,,,$3.00,"$441,573.00",,"$349,679.00",,,,$147.00,,,,,,,,,,,,,,,,,"$11,000.00",,"$360,679.00","$308,278.00","$349,532.00","$349,173.00","$430,067.00","$183,396.00",,2015-04-01,2015-06-30,,H4WA05077,,,,,,,,,,,,,,,,,,,,,
CEGAVSKE FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00505834,Q1,H,P,Q,"8250 W CHARLESTON BLVD, SUITE 100",LAS VEGAS,NV,89117,"BEERS, ROBERT",C00505834,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,870.67","$10,870.67","$43,052.43",,2015-01-01,2015-03-31,,H2NV04037,,,,,,,,,,,,,,,,,,,,,
CEGAVSKE FOR CONGRESS,http://images.nictusa.com/cgi-bin/fecimg/?C00505834,Q2,H,P,Q,"8250 W CHARLESTON BLVD, SUITE 100",LAS VEGAS,NV,89117,"BEERS, ROBERT",C00505834,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,870.67","$10,870.67","$43,052.43",,2015-04-01,2015-06-30,,H2NV04037,,,,,,,,,,,,,,,,,,,,,
